Facility Name,Facility Address,City,Province,Postal,Country,,,,Riding Name (English),Statcan Census Division id,Statcan Census Division Name,Statcan Census Division Type,Statcan Census Division Type Description,Statcan Census Consolidated Subdivision id,Statcan Census Consolidated Subdivision Name,Statcan Census Subdivision id,Statcan Census Subdivision Name,Statcan Census Subdivision Type,Statcan Census Subdivision Type Description,Statcan Census Economic Region,Statcan Census Statistical Area Code,Statcan Census Statistical Area Code Description,Statcan Census Statistical Area Type,Statcan Census Statistical Area Type Description,Statcan Census CMA/CA id,Statcan Census CMA/CA Name,Statcan Census CMA/CA Type,Statcan Census CMA/CA Type Description,Statcan Census Tract,Statcan Census Year
Edson Healthcare Centre (LTC) [Edson Continuing Care],"3825 - 6th Avenue EDSON, Alberta T7E0C5", EDSON,Alberta, T7E0C5,Canada,,,,,,,,,,,,,,,,,,,,,,,,,
Allen Gray Continuing Care Centre,"5005 28 Avenue EDMONTON, Alberta T6L 7G1", EDMONTON,Alberta,T6L 7G1,Canada,,,,,,,,,,,,,,,,,,,,,,,,,
Athabasca Healthcare Centre,"3100 48 Avenue ATHABASCA, Alberta T9S1M9",ABASCA,Alberta, T9S1M9,Canada,,,,,,,,,,,,,,,,,,,,,,,,,
BaAssspaenno  RHidegaelth L Codegnetre,"1610080  52 0A Avevennuue e BADSIDSSABNUOR, YA,l bAelrbtear Tta0 J T0M0B 00W0",,Alberta,0B 00W0,Canada,,,,,,,,,,,,,,,,,,,,,,,,,
Bow View Manor,"4628 Montgomery NW, CALGARY, Alberta T3B0K7",CALGARY,Alberta, T3B0K7,Canada,,,,,,,,,,,,,,,,,,,,,,,,,
Carewest Sarcee,"3504 Sarcee Road SW 608 5 Avenue CALGARY, Alberta T3E BASSANO, Alberta T0J4T4",BASSANO,Alberta, T0J4T4,Canada,,,,,,,,,,,,,,,,,,,,,,,,,
Bethany Airdrie,"1736 1 Avenue NW 608 5 Avenue AIRDRIE, Alberta T4B BASSANO, Alberta T0J2C4",BASSANO,Alberta, T0J2C4,Canada,,,,,,,,,,,,,,,,,,,,,,,,,
Bassano Health Centre,"608 5 Avenue BASSANO, Alberta T0J 0B0",BASSANO,Alberta,T0J 0B0,Canada,,,,,,,,,,,,,,,,,,,,,,,,,
Bentley Care Centre,"4834 52 Avenue BENTLEY, Alberta T0C 0J0",BENTLEY,Alberta,T0C 0J0,Canada,,,,,,,,,,,,,,,,,,,,,,,,,
Bethany Calgary,"916 18A Street NW CALGARY, Alberta T2N 1C6",CALGARY,Alberta,T2N 1C6,Canada,,,,,,,,,,,,,,,,,,,,,,,,,
Bethany Cochrane,"302 Quigley Drive COCHRANE, Alberta T4C 1X9",COCHRANE,Alberta,T4C 1X9,Canada,,,,,,,,,,,,,,,,,,,,,,,,,
Bethany Collegeside (Red Deer),"99 College Circle RED DEER, Alberta, T4R0M3",RED DEER,Alberta, T4R0M3,Canada,,,,,,,,,,,,,,,,,,,,,,,,,
Bethany Harvest Hills,"19 Harvest Gold Manor NE CALGARY, Alberta T3K 4Y1",CALGARY,Alberta,T3K 4Y1,Canada,,,,,,,,,,,,,,,,,,,,,,,,,
Bethany Meadows (LTC),"4209 55 Street CAMROSE, Alberta T4V 1Y6",CAMROSE,Alberta,T4V 1Y6,Canada,,,,,,,,,,,,,,,,,,,,,,,,,
Bethany Sylvan Lake (LTC),"4700 47 Avenue SYLVAN LAKE, Alberta T4S 2M3",SYLVAN LAKE,Alberta,T4S 2M3,Canada,,,,,,,,,,,,,,,,,,,,,,,,,
Beverly Centre Glenmore,"1729 90 Avenue SW CALGARY, Alberta T2V 4S1",CALGARY,Alberta,T2V 4S1,Canada,,,,,,,,,,,,,,,,,,,,,,,,,
Beverly Centre Lake Midnapore,"500 Midpark Way SE CALGARY, Alberta T2X 3S3",CALGARY,Alberta,T2X 3S3,Canada,,,,,,,,,,,,,,,,,,,,,,,,,
Big Country Hospital,312 3 Avenue East OYEN Alberta T0J2J0,OYEN,Alberta, T0J2J0,Canada,,,,,,,,,,,,,,,,,,,,,,,,,
Bonnyville Healthcare Centre,"5001 Lakeshore Drive BONNYVILLE, Alberta T9N 2J7",BONNYVILLE,Alberta,T9N 2J7,Canada,,,,,,,,,,,,,,,,,,,,,,,,,
Bonnyville Healthcare Centre,"5001 Lakeshore Drive BONNYVILLE, Alberta T9N 2J7",BONNYVILLE,Alberta,T9N 2J7,Canada,,,,,,,,,,,,,,,,,,,,,,,,,
Bow Crest Care Centre,"5927 Bowness Road, NW CALGARY, Alberta T3B 0C7",CALGARY,Alberta,T3B 0C7,Canada,,,,,,,,,,,,,,,,,,,,,,,,,
Bow Island Health Centre,"938 Centre Street,   PO Bag 3990 BOW ISLAND, Alberta T0K 0G0",BOW ISLAND,Alberta,T0K 0G0,Canada,,,,,,,,,,,,,,,,,,,,,,,,,
Breton Health Centre,"4919 49 Avenue BRETON, Alberta T0C 0P0",BRETON,Alberta,T0C 0P0,Canada,,,,,,,,,,,,,,,,,,,,,,,,,
Brooks Health Centre,"440 Third Street East (Bag 300, T1R 1B3) BROOKS, Alberta T1R 0X8",BROOKS,Alberta,T1R 0X8,Canada,,,,,,,,,,,,,,,,,,,,,,,,,
Canmore General Hospital [Golden Eagle View LTC],"1100 Hospital Place CANMORE, Alberta T1W 1N2",CANMORE,Alberta,T1W 1N2,Canada,,,,,,,,,,,,,,,,,,,,,,,,,
CapitalCare Dickinsfield,"14225 94 Street NW EDMONTON, Alberta T5E 6C6", EDMONTON,Alberta,T5E 6C6,Canada,,,,,,,,,,,,,,,,,,,,,,,,,
CapitalCare Grandview,"6215 124 Street EDMONTON, Alberta T6H 3V1", EDMONTON,Alberta,T6H 3V1,Canada,,,,,,,,,,,,,,,,,,,,,,,,,
CapitalCare Lynnwood,"8740 165 Street EDMONTON, Alberta, T5R2R8", EDMONTON,Alberta, T5R2R8,Canada,,,,,,,,,,,,,,,,,,,,,,,,,
CapitalCare Norwood,"10410 111 Avenue EDMONTON, Alberta T5G 3A2", EDMONTON,Alberta,T5G 3A2,Canada,,,,,,,,,,,,,,,,,,,,,,,,,
CapitalCare Strathcona (LTC),"12 Brower Drive SHERWOOD PARK, Alberta T8H 1V3",SHERWOOD PARK,Alberta,T8H 1V3,Canada,,,,,,,,,,,,,,,,,,,,,,,,,
Cardston Health Centre,"144 2 Street West PO Box 1440 CARDSTON, Alberta T0K 0K0",CARDSTON,Alberta,T0K 0K0,Canada,,,,,,,,,,,,,,,,,,,,,,,,,
Carewest Colonel Belcher (LTC),"1939 Veterans Way NW CALGARY, Alberta T3B 5Y8",CALGARY,Alberta,T3B 5Y8,Canada,,,,,,,,,,,,,,,,,,,,,,,,,
Carewest Dr. Vernon Fanning Centre,"722 16th Avenue NE CALGARY, Alberta T2E6V7",CALGARY,Alberta, T2E6V7,Canada,,,,,,,,,,,,,,,,,,,,,,,,,
Carewest Garrison Green,"3108 Don Ethell Boulevard SW CALGARY, Alberta T3E 6Z5",CALGARY,Alberta,T3E 6Z5,Canada,,,,,,,,,,,,,,,,,,,,,,,,,
Carewest George Boyack,"1203 Centre Avenue NE CALGARY, Alberta T2E 0A5",CALGARY,Alberta,T2E 0A5,Canada,,,,,,,,,,,,,,,,,,,,,,,,,
Carewest Rouleau Manor,"2208 2 Street SW CALGARY, Alberta T2S 3C3",CALGARY,Alberta,T2S 3C3,Canada,,,,,,,,,,,,,,,,,,,,,,,,,
Carewest Royal Park,"4222 Sarcee Road SW CALGARY, Alberta T3E 7J8",CALGARY,Alberta,T3E 7J8,Canada,,,,,,,,,,,,,,,,,,,,,,,,,
Carewest Signal Pointe,"6363 Simcoe Road SW CALGARY, Alberta T3H 4M3",CALGARY,Alberta,T3H 4M3,Canada,,,,,,,,,,,,,,,,,,,,,,,,,
Central Peace Health Complex,"5010 45 Avenue SPIRIT RIVER, Alberta T0H 3G0",SPIRIT RIVER,Alberta,T0H 3G0,Canada,,,,,,,,,,,,,,,,,,,,,,,,,
Citadel Care Centre,"25 Erin Ridge Road ST. ALBERT, Alberta T8N 7K8",ST. ALBERT,Alberta,T8N 7K8,Canada,,,,,,,,,,,,,,,,,,,,,,,,,
Clearwater Centre (Rocky Mountain House) (LTC),"5615 60 St, Rocky Mountain House, Alberta T4T1W2",ROCKY MOUNTAIN HOUSE,Alberta, T4T1W2,Canada,,,,,,,,,,,,,,,,,,,,,,,,,
Clifton Manor,"4726 8 Avenue SE CALGARY, Alberta T2A 0A8",CALGARY,Alberta,T2A 0A8,Canada,,,,,,,,,,,,,,,,,,,,,,,,,
Club Sierra at River Ridge (LTC),"4 River Ridge Drive NW MEDICINE HAT, Alberta T1A 8V1",MEDICINE HAT,Alberta,T1A 8V1,Canada,,,,,,,,,,,,,,,,,,,,,,,,,
Coaldale Health Centre,"2100 11 Street COALDALE, Alberta T1M 1L2",COALDALE,Alberta,T1M 1L2,Canada,,,,,,,,,,,,,,,,,,,,,,,,,
Cold Lake Healthcare Centre,"314 25 Street COLD LAKE, Alberta T9M 1G6",COLD LAKE,Alberta,T9M 1G6,Canada,,,,,,,,,,,,,,,,,,,,,,,,,
Consort Hospital And Care Centre,"5402 52 Avenue CONSORT, Alberta T0C 1B0",CONSORT,Alberta,T0C 1B0,Canada,,,,,,,,,,,,,,,,,,,,,,,,,
Coronation Hospital And Care Centre,"5000 Municipal Road CORONATION, Alberta T0C 1C0",CORONATION,Alberta,T0C 1C0,Canada,,,,,,,,,,,,,,,,,,,,,,,,,
Crowsnest Pass Health Centre,"2001 107 Street BLAIRMORE, Alberta T0K 0E0",BLAIRMORE,Alberta,T0K 0E0,Canada,,,,,,,,,,,,,,,,,,,,,,,,,
Devon General Hospital,"101 Erie Street South DEVON, Alberta T9G 1A6",DEVON,Alberta,T9G 1A6,Canada,,,,,,,,,,,,,,,,,,,,,,,,,
Devonshire Care Centre,"1808 142 Street NW EDMONTON, Alberta T6R 3H2", EDMONTON,Alberta,T6R 3H2,Canada,,,,,,,,,,,,,,,,,,,,,,,,,
Didsbury District Health Services,"1210 20 Avenue DIDSBURY, Alberta T0M 0W0",DIDSBURY,Alberta,T0M 0W0,Canada,,,,,,,,,,,,,,,,,,,,,,,,,
Dr. Cooke Extended Care Centre,"3915 56 Avenue LLOYDMINSTER, Alberta T9V 1N9",LLOYDMINSTER,Alberta,T9V 1N9,Canada,,,,,,,,,,,,,,,,,,,,,,,,,
Dr. W.R. Keir - Barrhead Continuing Care Centre,"5336 59 Avenue BARRHEAD, Alberta T7N 1L2",BARRHEAD,Alberta,T7N 1L2,Canada,,,,,,,,,,,,,,,,,,,,,,,,,
Drayton Valley Hospital And Care Centre,"4550 Madsen Avenue DRAYTON VALLEY, Alberta T7A 1N8",DRAYTON VALLEY,Alberta,T7A 1N8,Canada,,,,,,,,,,,,,,,,,,,,,,,,,
Drumheller Health Centre,"351 9 Street NW DRUMHELLER, Alberta T0J 0Y1",DRUMHELLER,Alberta,T0J 0Y1,Canada,,,,,,,,,,,,,,,,,,,,,,,,,
Edith Cavell Care Centre,"1255 5 Avenue South LETHBRIDGE, Alberta T1J 0V6",LETHBRIDGE,Alberta,T1J 0V6,Canada,,,,,,,,,,,,,,,,,,,,,,,,,
Edmonton General Continuing Care Centre,"11111 Jasper Avenue EDMONTON, Alberta T5K 0L4", EDMONTON,Alberta,T5K 0L4,Canada,,,,,,,,,,,,,,,,,,,,,,,,,
Elk Point Healthcare Centre,"5310 50 Avenue ELK POINT, Alberta T0A 1A0",ELK POINT,Alberta,T0A 1A0,Canada,,,,,,,,,,,,,,,,,,,,,,,,,
Extendicare Athabasca,"4517 53 Street ATHABASCA, Alberta T9S 1K4",ATHABASCA,Alberta,T9S 1K4,Canada,,,,,,,,,,,,,,,,,,,,,,,,,
Extendicare Bonnyville,"4602 47 Avenue BONNYVILLE, Alberta T9N 2E8",BONNYVILLE,Alberta,T9N 2E8,Canada,,,,,,,,,,,,,,,,,,,,,,,,,
Extendicare Cedars Villa,"3330 8 Avenue SW CALGARY, Alberta T3C 0E7",CALGARY,Alberta,T3C 0E7,Canada,,,,,,,,,,,,,,,,,,,,,,,,,
Extendicare Eaux Claires,"16503 95 Street EDMONTON, Alberta T5Z 0G7", EDMONTON,Alberta,T5Z 0G7,Canada,,,,,,,,,,,,,,,,,,,,,,,,,
Extendicare Fort MacLeod,"654 29 Street Box 189 FORT MACLEOD, Alberta T0L 0Z0",FORT MACLEOD,Alberta,T0L 0Z0,Canada,,,,,,,,,,,,,,,,,,,,,,,,,
Extendicare Hillcrest,"1512 8 Avenue NW CALGARY, Alberta T2N 1C1",CALGARY,Alberta,T2N 1C1,Canada,,,,,,,,,,,,,,,,,,,,,,,,,
Extendicare Holyrood [Extendicare Holyrood (South)],"8008 95 Avenue EDMONTON, Alberta T6C 2T1", EDMONTON,Alberta,T6C 2T1,Canada,,,,,,,,,,,,,,,,,,,,,,,,,
Extendicare Leduc,"4309 50 Street Box 280 LEDUC, Alberta T9E 6K6","LEDUC,",Alberta,T9E 6K6,Canada,,,,,,,,,,,,,,,,,,,,,,,,,
Extendicare Mayerthorpe,"4706 54 Street MAYERTHORPE, Alberta T0E 1N0",MAYERTHORPE,Alberta,T0E 1N0,Canada,,,,,,,,,,,,,,,,,,,,,,,,,
Extendicare Michener Hill (LTC),"12 Michener Boulevard RED DEER, Alberta T4P 0M1",RED DEER,Alberta,T4P 0M1,Canada,,,,,,,,,,,,,,,,,,,,,,,,,
Extendicare St. Paul,"4614 47 Avenue ST. PAUL, Alberta T0A 3A3",ST. PAUL,Alberta,T0A 3A3,Canada,,,,,,,,,,,,,,,,,,,,,,,,,
Extendicare Viking,"5020 57 Avenue Box 430 VIKING, Alberta T0B 4N0",VIKING,Alberta,T0B 4N0,Canada,,,,,,,,,,,,,,,,,,,,,,,,,
Extendicare Vulcan,"715 2 Avenue South VULCAN, Alberta T0L 2B0",VULCAN,Alberta,T0L 2B0,Canada,,,,,,,,,,,,,,,,,,,,,,,,,
Fairview Health Complex [Continuing Care Centre],"10628 110 Street FAIRVIEW, Alberta T0H 1L0",FAIRVIEW,Alberta,T0H 1L0,Canada,,,,,,,,,,,,,,,,,,,,,,,,,
Father Lacombe Care Centre,"270 Providence Boulevard SE, CALGARY, Alberta T2X0V6",CALGARY,Alberta, T2X0V6,Canada,,,,,,,,,,,,,,,,,,,,,,,,,
Foyer Lacombe,"1 St. Vital Avenue ST. ALBERT, Alberta T8N1K1",ST. ALBERT,Alberta, T8N1K1,Canada,,,,,,,,,,,,,,,,,,,,,,,,,
Good Samaritan Society Southgate Care Centre,"4225 107 Street, EDMONTON, Alberta T6J2P1",EDMONTON,Alberta, T6J2P1,Canada,,,,,,,,,,,,,,,,,,,,,,,,,
Good Samaritan Society Pembina Village,"5225 50 Street Evansburg, Alberta T0E0T0",EVANSBURG,Alberta, T0E0T0,Canada,,,,,,,,,,,,,,,,,,,,,,,,,
Galahad Care Centre,"1 Main St GALAHAD, Alberta T0B 1R0",GALAHAD,Alberta,T0B 1R0,Canada,,,,,,,,,,,,,,,,,,,,,,,,,
George McDougall - Smoky Lake Healthcare Centre,"4212 55 Avenue SMOKY LAKE, Alberta T0A 3C0",SMOKY LAKE,Alberta,T0A 3C0,Canada,,,,,,,,,,,,,,,,,,,,,,,,,
Glamorgan Care Centre,"105 Galbraith Drive SW CALGARY, Alberta T3E 4Z5",CALGARY,Alberta,T3E 4Z5,Canada,,,,,,,,,,,,,,,,,,,,,,,,,
Good Samaritan Dr. Gerald Zetter Care Centre,"9649 71 Avenue NW EDMONTON, Alberta T6E 5J2",EDMONTON,Alberta,T6E 5J2,Canada,,,,,,,,,,,,,,,,,,,,,,,,,
Good Samaritan Society Millwoods Centre,"101 Youville Drive East EDMONTON, Alberta T6L 7A4",EDMONTON,Alberta,T6L 7A4,Canada,,,,,,,,,,,,,,,,,,,,,,,,,
Good Samaritan Society Stony Plain Care Centre (LTC),"4800 55 Avenue STONY PLAIN, Alberta T7Z 1P9",STONY PLAIN,Alberta,T7Z 1P9,Canada,,,,,,,,,,,,,,,,,,,,,,,,,
Good Samaritan South Ridge Village (LTC),"550 Spruce Way SE MEDICINE HAT, Alberta T1B 4P1",MEDICINE HAT,Alberta,T1B 4P1,Canada,,,,,,,,,,,,,,,,,,,,,,,,,
Grande Prairie Care Centre,"9705 94 Avenue GRANDE PRAIRIE, Alberta T8V3A2",GRANDE PRAIRIE,Alberta, T8V3A2,Canada,,,,,,,,,,,,,,,,,,,,,,,,,
Grande Prairie Care Centre (LTC),"9705 94 Avenue GRANDE PRAIRIE, Alberta T8V3A2",GRANDE PRAIRIE,Alberta, T8V3A2,Canada,,,,,,,,,,,,,,,,,,,,,,,,,
Grimshaw/Berwyn And District Community Health Centre,"5621 Wilcox Road GRIMSHAW, Alberta T0H 1W0",GRIMSHAW,Alberta,T0H 1W0,Canada,,,,,,,,,,,,,,,,,,,,,,,,,
Hanna Health Centre,"904 Centre Street N, Box 830 HANNA, Alberta T0J 1P0",HANNA,Alberta,T0J 1P0,Canada,,,,,,,,,,,,,,,,,,,,,,,,,
Hardisty Care Centre,"6420 101 Avenue EDMONTON, Alberta T6A 0H5",EDMONTON,Alberta,T6A 0H5,Canada,,,,,,,,,,,,,,,,,,,,,,,,,
