index,facility_name,source_facility_type,odhf_facility_type,provider,unit,street_no,street_name,postal_code,city,province,source_format_str_address,CSDname,CSDuid,Pruid,latitude,longitude,111
1,advanced facial & nasal surgery centre,active acute hospital,Hospitals,Canadian Institute for Health Information,,,,T5M4G5,edmonton,ab,,Edmonton,,48,,,
2,agecare ó beverly centre glenmore,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T2V4S1,calgary,ab,,Calgary,,48,,,
3,agecare ó beverly centre lake midnapore,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T2X3S3,calgary,ab,,Calgary,,48,,,
4,agecare ó sagewood seniors community inc,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T1P0E2,strathmore,ab,,Strathmore,,48,,,
5,agecare ó seton,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T3M2M3,calgary,ab,,Calgary,,48,,,
6,agecare ó skypointe,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T3N0Y7,calgary,ab,,Calgary,,48,,,
7,agecare ó valleyview,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T1A7K5,medicine hat,ab,,Medicine Hat,,48,,,
8,agecare ó walden heights seniors community,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T2X0V1,calgary,ab,,Calgary,,48,,,
9,airdrie community health centre,active acute hospital,Hospitals,Canadian Institute for Health Information,,,,T4B3K7,airdrie,ab,,Airdrie,,48,,,
10,alberta children's hospital,pediatric,Hospitals,Public Health Agency of Canada,,2888,shaganappi trail nw,T3B6A8,calgary,ab,2888 shaganappi trail n.w. calgary ab t3b 6a8,Calgary,4806016,48,51.1267877,-114.1329645,
11,alberta hip and knee clinic,other,Ambulatory health care services,Canadian Institute for Health Information,,,,T5E5R8,edmonton,ab,,Edmonton,,48,,,
12,alberta hospital edmonton,psychiatric,Hospitals,Public Health Agency of Canada,,17480,fort rd,T5J2J7,edmonton,ab,17480 fort rd. edmonton ab t5j 2j7,Edmonton,4811061,48,53.636387,-113.374023,
13,alberta surgical centre,active acute hospital,Hospitals,Canadian Institute for Health Information,,,,T5M3Z7,edmonton,ab,,Edmonton,,48,,,
14,allen gray continuing care centre,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T6L7G1,edmonton,ab,,Edmonton,,48,,,
15,athabasca healthcare centre,general,Hospitals,Public Health Agency of Canada,,3100,48 ave,T9S1M9,athabasca,ab,3100 - 48th ave. athabasca ab t9s 1m9,Athabasca,4813048,48,54.71724,-113.254056,
16,audrey chan professional corporation,active acute hospital,Hospitals,Canadian Institute for Health Information,,,,T5J3S9,edmonton,ab,,Edmonton,,48,,,
17,barrhead community cancer centre,,Hospitals,Province of Alberta,,4815,51 avenue,T7N1M1,barrhead,ab,"4815 ñ 51 avenue barrhead, alberta, t7n 1m1",Barrhead,4813019,48,54.1196258,-114.4015147,
18,barrhead healthcare centre,general,Hospitals,Public Health Agency of Canada,,4815,51 ave,T7N1M1,barrhead,ab,4815 - 51st ave. barrhead ab t7n 1m1,Barrhead,4813019,48,54.1197041,-114.4001676,
19,"barry lycka md, cosmetic dermatologist",active acute hospital,Hospitals,Canadian Institute for Health Information,,,,T5J3S9,edmonton,ab,,Edmonton,,48,,,
20,bashaw care centre,active acute hospital,Hospitals,Canadian Institute for Health Information,,,,T0B0H0,bashaw,ab,,Bashaw,,48,,,
21,bassano health centre,general,Hospitals,Public Health Agency of Canada,,608,5 ave,T0J0B0,bassano,ab,608 - 5th ave. bassano ab t0j 0b0,Bassano,4802039,48,50.7892616,-112.461057,
22,beaverlodge municipal hospital,general,Hospitals,Public Health Agency of Canada,,422,10a st,T0H0C0,beaverlodge,ab,422 - 10a st. beaverlodge ab t0h 0c0,Beaverlodge,4819009,48,55.2136098,-119.4240928,
23,bentley care centre,extended care,Hospitals,Public Health Agency of Canada,,4834,52 ave,T0C0J0,bentley,ab,4834 - 52nd ave. bentley ab t0c 0j0,Bentley,4808026,48,52.467744,-114.04616,
24,bethany care society ó bethany airdrie,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T4B2C4,airdrie,ab,,Airdrie,,48,,,
25,bethany care society ó bethany calgary,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T2N1C6,calgary,ab,,Calgary,,48,,,
26,bethany care society ó bethany cochrane,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T4C1X9,cochrane,ab,,Cochrane,,48,,,
27,bethany care society ó bethany collegeside,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T4R0M3,red deer,ab,,Red Deer,,48,,,
28,bethany care society ó bethany harvest hills,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T3K4Y1,calgary,ab,,Calgary,,48,,,
29,bethany care society ó bethany riverview,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T2B2W6,calgary,ab,,Calgary,,48,,,
30,bethany care society ó bethany sylvan lake,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T4S2M3,sylvan lake,ab,,Sylvan Lake,,48,,,
31,big country health centre,general,Hospitals,Public Health Agency of Canada,,312,3 ave e,T0J2J0,oyen,ab,312 - 3rd ave. e. oyen ab t0j 2j0,McLennan,4819042,48,55.710472,-116.914222,
32,big country hospital,,Hospitals,Province of Alberta,,312,3 avenue e,T0J2J0,oyen,ab,"312 3rd avenue e., oyen, alberta, t0j 2j0",Oyen,4804014,48,51.351585,-110.478813,
33,bonnyville community cancer centre,,Hospitals,Province of Alberta,,,,T9N2J7,bonnyville,ab,"bonnyville, alberta, t9n 2j7",Bonnyville,4812009,48,54.26373,-110.7393,
34,bonnyville health centre,general,Hospitals,Public Health Agency of Canada,,5001,lakeshore dr,T9N2J7,bonnyville,ab,5001 lakeshore dr. bonnyville ab t9n 2j7,Bonnyville,4812009,48,54.2637533,-110.7414916,
35,bonnyville healthcare centre,,Ambulatory health care services,Province of Alberta,,5001,lakeshore drive,T9N2J7,bonnyville,ab,"5001 lakeshore drive, bonnyville, alberta, t9n 2j7",Bonnyville,4812009,48,54.26373,-110.7393,
36,bow island health centre,general,Hospitals,Public Health Agency of Canada,,938,centre st,T0K0G0,bow island,ab,938 centre st. bow island ab t0k 0g0,Bow Island,4801014,48,49.8655484,-111.3793987,
37,bow valley community cancer centre,,Hospitals,Province of Alberta,,1100,hospital place,T1W1N2,canmore,ab,"1100 hospital place canmore, alberta, t1w 1n2",Canmore,4815023,48,51.092455,-115.35172,
38,boyle healthcare centre,,Hospitals,Canadian Institute for Health Information,,5004,lakeview road,T0A0M0,boyle,ab,5004 lakeview road boyle ab t0a0m0 canada,Boyle,4813046,48,54.588366,-112.801974,
39,boyle mccauley health centre,general,Hospitals,Public Health Agency of Canada,,10628,96 st,T0A0M0,edmonton,ab,10628 - 96 st. edmonton ab t0a 0m0,Edmonton,4811061,48,53.55136,-113.486,
40,breton health centre,extended care,Hospitals,Public Health Agency of Canada,,4919,49 ave,T0C0P0,breton,ab,4919 - 49 ave. breton ab t0c 0p0,Breton,4811026,48,53.1092291,-114.4712943,
41,brooks health centre,general,Hospitals,Public Health Agency of Canada,,440,3 st e,T1R1B3,brooks,ab,440 - 3rd st. e. brooks ab t1r 1b3,Brooks,4802034,48,50.5676564,-111.890977,
42,calgary retina consultants,active acute hospital,Ambulatory health care services,Canadian Institute for Health Information,,,,T3E7M8,calgary,ab,,Calgary,,48,,,
43,camrose community cancer centre,,Hospitals,Province of Alberta,,4607,53 street,T4V1Y5,camrose,ab,"4607 ñ 53 street camrose, alberta, t4v 1y5",Camrose,4810011,48,53.014198,-112.830093,
44,canmore general hospital,general,Hospitals,Public Health Agency of Canada,,1100,hospital place,T1W1N2,canmore,ab,1100 hospital place canmore ab t1w 1n2,Canmore,4815023,48,51.09301,-115.350651,
45,capitalcare ó dickinsfield,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T5E6C6,edmonton,ab,,Edmonton,,48,,,
46,capitalcare ó grandview,"active acute hospital, long term care",Hospitals,Canadian Institute for Health Information,,,,T6H3V1,edmonton,ab,,Edmonton,,48,,,
47,capitalcare ó lynnwood,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T5R2R8,edmonton,ab,,Edmonton,,48,,,
48,capitalcare ó norwood,"active acute hospital, long term care",Hospitals,Canadian Institute for Health Information,,,,T5G3A2,edmonton,ab,,Edmonton,,48,,,
49,capitalcare ó strathcona,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T8H1V3,sherwood park,ab,,,,48,,,
50,capitalcare ó the dianne and irving kipnes centre for veterans,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T5E6M8,edmonton,ab,,Edmonton,,48,,,
51,cardston health centre,general,Hospitals,Public Health Agency of Canada,,144,2 st w,T0K0K0,cardston,ab,144 - 2nd st. w. cardston ab t0k 0k0,Cardston,4803004,48,49.201947,-113.305761,
52,carewest ó colonel belcher,"active acute hospital, long term care",Nursing and residential care facilities,Canadian Institute for Health Information,,,,T3B5Y8,calgary,ab,,Calgary,,48,,,
53,carewest ó dr. vernon fanning centre,"active acute hospital, long term care",Nursing and residential care facilities,Canadian Institute for Health Information,,,,T2E6V7,calgary,ab,,Calgary,,48,,,
54,carewest ó garrison green,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T3E6Z5,calgary,ab,,Calgary,,48,,,
55,carewest ó george boyack,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T2E0A5,calgary,ab,,Calgary,,48,,,
56,carewest ó glenmore park,active acute hospital,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T2V1P8,calgary,ab,,Calgary,,48,,,
57,carewest ó rouleau manor,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T2S3C3,calgary,ab,,Calgary,,48,,,
58,carewest ó royal park,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T3E7J8,calgary,ab,,Calgary,,48,,,
59,carewest ó sarcee,"active acute hospital, long term care",Nursing and residential care facilities,Canadian Institute for Health Information,,,,T3E4T4,calgary,ab,,Calgary,,48,,,
60,carewest ó signal pointe,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T3H4M3,calgary,ab,,Calgary,,48,,,
61,centennial centre for mental health and brain injury,psychiatric,Hospitals,Public Health Agency of Canada,,,,T4J1R8,ponoka,ab,p.o. box 1000 ponoka ab t4j 1r8,Ponoka County,4808038,48,52.648905,-113.575936,
62,central alberta cancer centre,,Hospitals,Province of Alberta,3942,50a,avenue,T4N4E7,red deer,ab,"3942-50a avenue, red deer, alberta, t4n 4e7",Red Deer,4808011,48,52.2606267,-113.8183868,
63,central peace health complex,general,Hospitals,Public Health Agency of Canada,,5010,45 ave,T0H3G0,spirit river,ab,5010 - 45 ave. spirit river ab t0h 3g0,Spirit River,4819058,48,55.776981,-118.838754,
64,chantelle management ltd. ó edith cavell care centre,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T1J0V6,lethbridge,ab,,Lethbridge,,48,,,
65,chantelle management ltd. ó grande prairie care centre,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T8V3A2,grande prairie,ab,,Grande Prairie,,48,,,
66,chinook regional hospital,general,Hospitals,Public Health Agency of Canada,,960,19 st s,T1J1W5,lethbridge,ab,960 - 19th st. s. lethbridge ab t1j 1w5,Lethbridge,4802012,48,49.68535,-112.8151851,
67,claresholm centre for mental health and addictions,active acute hospital,Hospitals,Canadian Institute for Health Information,,,,T0L0T0,claresholm,ab,,Claresholm,,48,,,
68,claresholm general hospital,general,Hospitals,Public Health Agency of Canada,,221,43 ave w,T0L0T0,claresholm,ab,221 - 43 ave. w. claresholm ab t0l 0t0,Claresholm,4803022,48,50.018656,-113.582623,
69,coaldale health centre,general,Hospitals,Public Health Agency of Canada,,2100,11 st,T1M1L2,coaldale,ab,2100 - 11 st. coaldale ab t1m 1l2,Coaldale,4802019,48,49.725825,-112.607294,
70,cochrane community health centre,active acute hospital,Hospitals,Canadian Institute for Health Information,,,,T4C0S4,cochrane,ab,,Cochrane,,48,,,
71,cold lake healthcare centre,general,Hospitals,Public Health Agency of Canada,,314,25 st,T9M1G6,cold lake,ab,314 - 25th st. cold lake ab t9m 1g6,Cold Lake,4812002,48,54.4658735,-110.199018,
72,consort hospital,general,Hospitals,Public Health Agency of Canada,,5402,52 ave,T0C1B0,consort,ab,5402 - 52 ave. consort ab t0c 1b0,Consort,4804022,48,52.0098399,-110.7820183,
73,consort hospital and care centre,,Hospitals,Province of Alberta,,5402,52 avenue,T0C1B0,consort,ab,"5402 ñ 52 avenue, consort, alberta, t0c 1b0",Consort,4804022,48,52.0120048,-110.7717888,
74,contours oral surgery,active acute hospital,Hospitals,Canadian Institute for Health Information,,,,T6W2Z4,edmonton,ab,,Edmonton,,48,,,
75,coronation hospital and care centre,,Hospitals,Province of Alberta,,5000,municipal road,T0C1C0,coronation,ab,"5000 municipal road, coronation, alberta, t0c 1c0",Coronation,4807012,48,52.0964213,-111.4597738,
76,coronation hspital & care centre,general,Hospitals,Public Health Agency of Canada,,5000,municipal rd,T0C1C0,coronation,ab,5000 municipal rd. coronation ab t0c 1c0,Coronation,4807012,48,52.0962638,-111.459203,
77,covenant care ó foyer lacombe,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T8N1K1,st albert,ab,,St. Albert,,48,,,
78,covenant care ó villa marie,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T4P0S3,red deer,ab,,Red Deer,,48,,,
79,covenant health bonnyville health centre,,Hospitals,Canadian Institute for Health Information,,5001,lakeshore drive,T9N1M5,bonnyville,ab,5001 lakeshore drive bonnyville ab t9n 1m5 canada,Bonnyville,4812009,48,54.263728,-110.739296,
80,covenant health bonnyville healthcare centre,"active acute hospital, long term care",Hospitals,Canadian Institute for Health Information,,,,T9N2J7,bonnyville,ab,,Bonnyville,,48,,,
81,covenant health edmonton general continuing care centre,"active acute hospital, long term care",Hospitals,Canadian Institute for Health Information,,,,T5K0L4,edmonton,ab,,Edmonton,,48,,,
82,covenant health grey nuns community hospital,,Hospitals,Canadian Institute for Health Information,,1100,youville drive w,T6L5X8,edmonton,ab,1100 youville drive west edmonton ab t6l 5x8 canada,Edmonton,4811061,48,53.462682,-113.432304,
83,covenant health killam health care centre,,Hospitals,Canadian Institute for Health Information,,5203,49 avenue,T0B2L0,killam,ab,5203 49 avenue killam ab t0b 2l0 canada,Killam,4807042,48,52.788935,-111.859551,
84,covenant health mary immaculate care centre,"active acute hospital, long term care",Hospitals,Canadian Institute for Health Information,,,,T0B3H0,mundare,ab,,Mundare,,48,,,
85,covenant health mineral springs hospital,,Hospitals,Canadian Institute for Health Information,,305,lynx street,T1L1B8,banff,ab,305 lynx street banff ab t1l 1b8 canada,Banff,4815035,48,51.17925,-115.574865,
86,covenant health misericordia community hospital,,Hospitals,Canadian Institute for Health Information,,16940,87 avenue,T5R4H5,edmonton,ab,16940 - 87th avenue edmonton ab t5r 4h5 canada,Edmonton,4811061,48,53.522149,-113.613021,
87,covenant health our lady of the rosary hospital,general,Hospitals,Public Health Agency of Canada,,5402,47 st,T0C0X0,castor,ab,5402 - 47 st. castor ab t0c 0x0,Castor,4807014,48,52.2234403,-111.9068616,
88,covenant health st. joseph's general hospital [ab],,Hospitals,Canadian Institute for Health Information,,5241,43 street,T9C1C6,vegreville,ab,5241 43 street vegreville ab t9c 1c6 canada,Vegreville,4810028,48,53.494418,-112.033619,
89,covenant health st. josephís auxiliary hospital,"active acute hospital, long term care",Hospitals,Canadian Institute for Health Information,,,,T6J6W1,edmonton,ab,,Edmonton,,48,,,
90,covenant health st. mary's hospital [camrose],,Hospitals,Canadian Institute for Health Information,,4607,53 street,T4V1Y5,camrose,ab,4607 - 53rd street camrose ab t4v 1y5 canada,Camrose,4810011,48,53.013725,-112.830994,
91,covenant health st. maryís health care centre,"active acute hospital, long term care",Hospitals,Canadian Institute for Health Information,,,,T0M2C0,trochu,ab,,Trochu,,48,,,
92,covenant health st. michaelís health centre,"active acute hospital, long term care",Hospitals,Canadian Institute for Health Information,,,,T1J4V5,lethbridge,ab,,Lethbridge,,48,,,
93,covenant health villa caritas,active acute hospital,Hospitals,Canadian Institute for Health Information,,,,T5R0A4,edmonton,ab,,Edmonton,,48,,,
94,covenant health youville home,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T8N1K1,st albert,ab,,St. Albert,,48,,,
95,cross cancer institute,cancer,Hospitals,Public Health Agency of Canada,,11560,university ave,T6G1Z2,edmonton,ab,11560 university ave. edmonton ab t6g 1z2,Edmonton,4811061,48,53.5182625,-113.5310786,
96,crowsnest pass health centre,general,Hospitals,Public Health Agency of Canada,,2001,107 st,T0K0E0,blairmore,ab,2001 - 107 st. blairmore ab t0k 0e0,Crowsnest Pass,4815007,48,49.6131739,-114.4736247,
97,david b. climenhaga professional corporation,active acute hospital,Ambulatory health care services,Canadian Institute for Health Information,,,,T5J3S9,edmonton,ab,,Edmonton,,48,,,
98,daysland health centre,general,Hospitals,Public Health Agency of Canada,,5920,51 ave,T0B1A0,daysland,ab,5920 - 51 ave. daysland ab t0b 1a0,Daysland,4807039,48,52.868425,-112.272521,
99,dental service group,active acute hospital,Hospitals,Canadian Institute for Health Information,,,,T5M0H4,edmonton,ab,,Edmonton,,48,,,
100,devon general hospital,general,Hospitals,Public Health Agency of Canada,,101,erie st s,T9G1A6,devon,ab,101 erie st. s. devon ab t9g 1a6,Devon,4811018,48,53.351493,-113.730785,
101,didsbury district health services,general,Hospitals,Public Health Agency of Canada,,1210,20 ave,T0M0W0,didsbury,ab,1210 - 20th ave. didsbury ab t0m 0w0,Didsbury,4806032,48,51.661795,-114.123674,
102,dr. bryan murray professional corporation,active acute hospital,Hospitals,Canadian Institute for Health Information,,,,T1J2B9,lethbridge,ab,,Lethbridge,,48,,,
103,dr. cooke extended care centre,,Nursing and residential care facilities,Saskatchewan Health Authorities,,3915,56 avenue,T9V1N9,lloydminster,ab,"3915 ñ 56 avenue lloydminster, ab t9v 1n9",Lloydminster (Part),4810039,48,53.273049,-110.019164,
104,dr. w. r. keir - barrhead continuing care centre,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T7N1L2,barrhead,ab,,Barrhead,,48,,,
105,drayton valley community cancer centre,,Hospitals,Province of Alberta,,4550,madsen avenue,T7A1N8,drayton valley,ab,"4550 madsen avenue, drayton valley, alberta, t7a 1n8",Drayton Valley,4811031,48,53.212021,-114.969841,
106,drayton valley hospital & care centre,general,Hospitals,Public Health Agency of Canada,,4550,madsen ave,T7A1N8,drayton valley,ab,4550 madsen ave. drayton valley ab t7a 1n8,Drayton Valley,4811031,48,53.211841,-114.969193,
107,drumheller community cancer centre,,Hospitals,Province of Alberta,,351,9 street nw,T0J0Y1,drumheller,ab,"351 ñ 9th street nw drumheller, alberta, t0j 0y1",Drumheller,4805026,48,51.470875,-112.745003,
108,drumheller health centre,general,Hospitals,Public Health Agency of Canada,,351,9 st nw,T0J0Y1,drumheller,ab,351 - 9th st. n.w. drumheller ab t0j 0y1,Drumheller,4805026,48,51.4698073,-112.7259344,
109,east edmonton health centre,active acute hospital,Hospitals,Canadian Institute for Health Information,,,,T5B0C2,edmonton,ab,,Edmonton,,48,,,
