index,facility_name,source_facility_type,odhf_facility_type,provider,unit,street_no,street_name,postal_code,city,province,source_format_str_address,CSDname,CSDuid,Pruid,latitude,longitude,111
220,queen elizabeth ii hospital,general,Hospitals,Public Health Agency of Canada,,10409,98 st,T8V2E8,grande prairie,ab,10409 - 98th st. grande prairie ab t8v 2e8,Grande Prairie,4819012,48,55.1752923,-118.786568,
221,radway continuing care centre,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T0A2V0,radway,ab,,,,48,,,
222,rainbow lake health centre,active acute hospital,Hospitals,Canadian Institute for Health Information,,,,T0H2Y0,rainbow lake,ab,,Rainbow Lake,,48,,,
223,raymond health centre,general,Hospitals,Public Health Agency of Canada,,150,n 4 st e,T0K2S0,raymond,ab,150 n. - 4th st. e. raymond ab t0k 2s0,Raymond,4802008,48,49.4647002,-112.650584,
224,red deer regional hospital centre,general,Hospitals,Public Health Agency of Canada,,3942,50a ave,T4N6R2,red deer,ab,3942 - 50a ave. red deer ab t4n 6r2,Red Deer,4808011,48,52.2607786,-113.818671,
225,redwater health centre,general,Hospitals,Public Health Agency of Canada,,4812,58 st,T0A2W0,redwater,ab,4812 - 58 st. redwater ab t0a 2w0,Redwater,4811065,48,53.9495991,-113.1255813,
226,remington laser dermatology centre,active acute hospital,Hospitals,Canadian Institute for Health Information,,,,T2H2H8,calgary,ab,,Calgary,,48,,,
227,renew oral and facial surgical centre,active acute hospital,Hospitals,Canadian Institute for Health Information,,,,T6G1B9,edmonton,ab,,Edmonton,,48,,,
228,retirement concepts ó millrise place,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T2Y5B9,calgary,ab,,Calgary,,48,,,
229,revera inc. ó bow crest care centre,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T3B0C7,calgary,ab,,Calgary,,48,,,
230,revera inc. ó jasper place,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T5R2V6,edmonton,ab,,Edmonton,,48,,,
231,revera inc. ó mckenzie towne care centre,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T2Z4G4,calgary,ab,,Calgary,,48,,,
232,revera inc. ó miller crossing,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T5A5J4,edmonton,ab,,Edmonton,,48,,,
233,revera inc. ó mount royal care centre,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T2T3C2,calgary,ab,,Calgary,,48,,,
234,revera inc. ó riverview,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T1A4C2,medicine hat,ab,,Medicine Hat,,48,,,
235,revera inc. ó south terrace continuing care centre,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T6H3J4,edmonton,ab,,Edmonton,,48,,,
236,richmond road diagnostic & treatment centre,,Hospitals,Province of Alberta,,1820,richmond road sw,T2T5C7,calgary,ab,"1820 richmond road sw calgary, alberta, t2t 5c7",Calgary,4806016,48,51.035999,-114.110878,
237,rimbey hospital & care centre,general,Hospitals,Public Health Agency of Canada,,5228,50 ave,T0C2J0,rimbey,ab,5228 - 50th ave. rimbey ab t0c 2j0,Rimbey,4808044,48,52.6396975,-114.2459585,
238,riverview surgical centre,active acute hospital,Hospitals,Canadian Institute for Health Information,,,,T3B2E7,calgary,ab,,Calgary,,48,,,
239,rocky mountain house health centre,general,Hospitals,Public Health Agency of Canada,,5016,52 ave,T4T1T2,rocky mountain house,ab,5016 - 52nd ave. rocky mountain house ab t4t 1t2,Rocky Mountain House,4809015,48,52.3785683,-114.920205,
240,rocky mountain surgery centre inc.,active acute hospital,Hospitals,Canadian Institute for Health Information,,,,T2X1P1,calgary,ab,,Calgary,,48,,,
241,rockyview general hospital,general,Hospitals,Public Health Agency of Canada,,7007,14 st sw,T2V1P9,calgary,ab,7007 - 14th st. s.w. calgary ab t2v 1p9,Calgary,4806016,48,50.9898221,-114.096632,
242,rockyview surgical centre,active acute hospital,Hospitals,Canadian Institute for Health Information,,,,T2V4R6,calgary,ab,,Calgary,,48,,,
243,royal alexandra hospital,general,Hospitals,Public Health Agency of Canada,,10240,kingsway ave,T5H3V9,edmonton,ab,10240 kingsway ave. edmonton ab t5h 3v9,Edmonton,4811061,48,53.5573875,-113.497772,
244,royal view surgi-centre,active acute hospital,Hospitals,Canadian Institute for Health Information,,,,T3E7E6,calgary,ab,,Calgary,,48,,,
245,sacred heart community health centre,general,Hospitals,Public Health Agency of Canada,,350,3 ave,T0H2L0,mclennan,ab,350 - 3rd ave. mclennan ab t0h 2l0,McLennan,4819042,48,55.710475,-116.914218,
246,salem manor nursing home,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T9E6L2,leduc,ab,,Leduc,,48,,,
247,santÈ surgi-centre,active acute hospital,Hospitals,Canadian Institute for Health Information,,,,T1B4E7,medicine hat,ab,,Medicine Hat,,48,,,
248,seton (jasper) healthcare centre,,Hospitals,Canadian Institute for Health Information,,518,robson street,T0E1E0,jasper,ab,518 robson street jasper ab t0e 1e0 canada,Jasper,4815033,48,52.876102,-118.084124,
249,sheldon m. chumir health centre,active acute hospital,Hospitals,Canadian Institute for Health Information,,,,T2R0X7,calgary,ab,,Calgary,,48,,,
250,shepherdís care foundation ó eden house,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T6J5S4,edmonton,ab,,Edmonton,,48,,,
251,shepherdís care foundation ó kensington campus,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T5L5B1,edmonton,ab,,Edmonton,,48,,,
252,shepherdís care foundation ó millwoods campus,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T6K2R1,edmonton,ab,,Edmonton,,48,,,
253,sherwood care,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T8A0X1,sherwood park,ab,,,,48,,,
254,slave lake associate medical clinic,active acute hospital,Hospitals,Canadian Institute for Health Information,,,,T0G2A2,slave lake,ab,,Slave Lake,,48,,,
255,slave lake healthcare centre,general,Hospitals,Public Health Agency of Canada,,309,6 st ne,T0G2A2,slave lake,ab,309 - 6th st. n.e. slave lake ab t0g 2a2,Slave Lake,4817029,48,55.284356,-114.760739,
256,smoky lake (george mcdougall memorial) healthcare centre,general,Hospitals,Public Health Agency of Canada,,4212,55 ave,T0A3C0,smoky lake,ab,4212 - 55 ave. smoky lake ab t0a 3c0,Smoky Lake,4812029,48,54.121133,-112.465024,
257,smoky lake continuing care centre,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T0A3C0,smoky lake,ab,,Smoky Lake,,48,,,
258,smoky lake healthcare centre,,Hospitals,Canadian Institute for Health Information,,4212,55 avenue,T0A3C0,smoky lake,ab,4212 55th avenue smoky lake ab t0a 3c0 canada,Smoky Lake,4812029,48,54.121031,-112.464953,
259,south calgary health centre,active acute hospital,Hospitals,Canadian Institute for Health Information,,,,T2X3W5,calgary,ab,,Calgary,,48,,,
260,south calgary oral and maxillofacial surgery,active acute hospital,Hospitals,Canadian Institute for Health Information,,,,T2W4Y1,calgary,ab,,Calgary,,48,,,
261,south edmonton oral surgery,active acute hospital,Hospitals,Canadian Institute for Health Information,,,,T6H5P9,edmonton,ab,,Edmonton,,48,,,
262,south health campus,,Hospitals,Province of Alberta,,4448,front street se,T3M1M4,calgary,ab,"4448 front street se, calgary, alberta, t3m 1m4",Calgary,4806016,48,50.8820756,-113.9511437,
263,southern alberta eye centre,active acute hospital,Hospitals,Canadian Institute for Health Information,,,,T2H0C8,calgary,ab,,Calgary,,48,,,
264,southern alberta forensic psychiatric centre,active acute hospital,Hospitals,Canadian Institute for Health Information,,,,T3R1J3,calgary,ab,,Calgary,,48,,,
265,st. joseph's general hospital - vegreville,general,Hospitals,Public Health Agency of Canada,,5241,43 st,T9C1R5,vegreville,ab,5241 - 43 st. vegreville ab t9c 1r5,Vegreville,4810028,48,53.493974,-112.033805,
266,st. josephís general hospital,,Hospitals,Province of Alberta,,5241,43 street,T9C1R5,vegreville,ab,"5241 ñ 43 street, vegreville, alberta, t9c 1r5",Vegreville,4810028,48,53.49442,-112.03362,
267,st. mary's camrose,general,Hospitals,Public Health Agency of Canada,,4607,53 st,T4V1Y5,camrose,ab,4607 - 53rd st. camrose ab t4v 1y5,Camrose,4810011,48,53.0142926,-112.8305401,
268,st. maryís hospital,,Hospitals,Province of Alberta,,4607,53 street,T4V1Y5,camrose,ab,"4607 ñ 53 street, camrose, alberta, t4v 1y5",Camrose,4810011,48,53.014198,-112.830093,
269,st. michaelís long term care centre,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T5C3H7,edmonton,ab,,Edmonton,,48,,,
270,st. paul healthcare centre,general,Hospitals,Public Health Agency of Canada,,4713,48 ave,T0A3A3,st paul,ab,4713 - 48th ave. st. paul ab t0a 3a3,St. Paul,4812018,48,53.9888438,-111.2904497,
271,st. theresa general hospital,general,Hospitals,Public Health Agency of Canada,,4506,46 ave,T0H1N0,fort vermilion,ab,4506 - 46 ave. fort vermilion ab t0h 1n0,Mackenzie County,4817095,48,58.3858843,-116.0122067,
272,st. therese-st. paul healthcare centre,,Hospitals,Canadian Institute for Health Information,,4713,48 avenue,T0A3A3,st paul,ab,4713 - 48th avenue st. paul ab t0a3a3 canada,St. Paul,4812018,48,53.989267,-111.290463,
273,stettler hospital & care centre,general,Hospitals,Public Health Agency of Canada,,5912,47 ave,T0C2L0,stettler,ab,5912 - 47 ave. stettler ab t0c 2l0,Stettler,4807026,48,52.323974,-112.72346,
274,steve bureau oral & maxillofacial surgery,active acute hospital,Hospitals,Canadian Institute for Health Information,,,,T3A2N1,calgary,ab,,Calgary,,48,,,
275,stollery childrenís hospital,,Hospitals,Province of Alberta,,8440,112 street,T6G2B7,edmonton,ab,"8440 ñ 112 street, edmonton, alberta, t6g 2b7",Edmonton,4811061,48,53.520463,-113.520921,
276,strathcona community hospital,active acute hospital,Hospitals,Canadian Institute for Health Information,,,,T8H0J3,sherwood park,ab,,,,48,,,
277,strathmore district health services,general,Hospitals,Public Health Agency of Canada,,200,brent blvd,T1P1J9,strathmore,ab,200 brent blvd. strathmore ab t1p 1j9,Strathmore,4805018,48,51.060882,-113.386513,
278,sturgeon community hospital,general,Hospitals,Public Health Agency of Canada,,201,boudreau rd,T8N6C4,st albert,ab,201 boudreau rd. st. albert ab t8n 6c4,St. Albert,4811062,48,53.65524,-113.625711,
279,sundre hospital & care centre,general,Hospitals,Public Health Agency of Canada,,709,1 st ne,T0M1X0,sundre,ab,709 - 1st st. n.e. sundre ab t0m 1x0,Sundre,4806036,48,51.807789,-114.635486,
280,sunnyside care centre,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T1A5G1,medicine hat,ab,,Medicine Hat,,48,,,
281,sunridge medical gallery ó general ambulatory,active acute hospital,Hospitals,Canadian Institute for Health Information,,,,T1Y7M9,calgary,ab,,Calgary,,48,,,
282,sunridge medical gallery ó mental health,active acute hospital,Hospitals,Canadian Institute for Health Information,,,,T1Y7M8,calgary,ab,,Calgary,,48,,,
283,swan hills healthcare centre,general,Hospitals,Public Health Agency of Canada,,29,freeman dr,T0G2C0,swan hills,ab,29 freeman dr. swan hills ab t0g 2c0,Swan Hills,4817024,48,54.7274797,-115.403079,
284,sylvan lake community health centre,active acute hospital,Hospitals,Canadian Institute for Health Information,,,,T4S1M7,sylvan lake,ab,,Sylvan Lake,,48,,,
285,taber health centre,general,Hospitals,Public Health Agency of Canada,,4326,50 ave,T1G1N9,taber,ab,4326 - 50th ave. taber ab t1g 1n9,Taber,4802022,48,49.7850125,-112.1651375,
286,the bethany group ó bethany meadows,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T4V1Y6,camrose,ab,,Camrose,,48,,,
287,the bethany group ó louise jensen care centre,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T4V4P8,camrose,ab,,Camrose,,48,,,
288,the bethany group ó rosehaven care centre,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T4V1Y6,camrose,ab,,Camrose,,48,,,
289,the brenda strafford foundation ltd. ó bow view manor,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T3B0K7,calgary,ab,,Calgary,,48,,,
290,the brenda strafford foundation ltd. ó clifton manor,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T2A0A8,calgary,ab,,Calgary,,48,,,
291,the brenda strafford foundation ltd. ó wentworth manor - the court,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T3H3M2,calgary,ab,,Calgary,,48,,,
292,the good samaritan society ó dr. gerald zetter care centre,chronic care,Nursing and residential care facilities,Public Health Agency of Canada,,9649,71 ave,T6E5J2,edmonton,ab,9649 - 71st ave. edmonton ab t6e 5j2,Edmonton,4811061,48,53.5072809,-113.477577,
293,the good samaritan society ó mill woods centre,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T6L7A4,edmonton,ab,,Edmonton,,48,,,
294,the good samaritan society ó pembina village,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T0E0T0,evansburg,ab,,,,48,,,
295,the good samaritan society ó rocky mountain house clearwater centre,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T4T1W2,rocky mountain house,ab,,Rocky Mountain House,,48,,,
296,the good samaritan society ó south ridge village,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T1B4P1,medicine hat,ab,,Medicine Hat,,48,,,
297,the good samaritan society ó southgate care centre,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T6J2P1,edmonton,ab,,Edmonton,,48,,,
298,the good samaritan society ó stony plain care centre,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T7Z1P9,stony plain,ab,,Stony Plain,,48,,,
299,three hills health centre,general,Hospitals,Public Health Agency of Canada,,1504,2 st n,T0M2A0,three hills,ab,1504 - 2nd st. n. three hills ab t0m 2a0,Three Hills,4805048,48,51.7078018,-113.2510859,
300,tofield health centre,general,Hospitals,Public Health Agency of Canada,,5543,44 st,T0B4J0,tofield,ab,5543 - 44 st. tofield ab t0b 4j0,Tofield,4810018,48,53.3726572,-112.6510992,
301,tom baker cancer centre,cancer,Hospitals,Public Health Agency of Canada,,1331,29 st nw,T2N4N2,calgary,ab,1331 - 29th st. n.w. calgary ab t2n 4n2,Calgary,4806016,48,51.063131,-114.133258,
302,totalcardiology rehabilitation inc.,active acute hospital,Hospitals,Canadian Institute for Health Information,,,,T2G5B6,calgary,ab,,Calgary,,48,,,
303,touchan oral and maxillofacial surgery,active acute hospital,Hospitals,Canadian Institute for Health Information,,,,T2A5H5,calgary,ab,,Calgary,,48,,,
304,touchmark at wedgewood,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T6M2Y5,edmonton,ab,,Edmonton,,48,,,
305,travois holdings ltd. ó glamorgan care centre,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T3E4Z5,calgary,ab,,Calgary,,48,,,
306,travois holdings ltd. ó mayfair care centre,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T2V2X1,calgary,ab,,Calgary,,48,,,
307,two hills health centre,general,Hospitals,Public Health Agency of Canada,,4401,53 ave,T0B4K0,two hills,ab,4401 - 53rd ave. two hills ab t0b 4k0,Two Hills,4810052,48,53.7132007,-111.731815,
308,university of alberta hospital,,Hospitals,Province of Alberta,,8440,112 street,T6G2B7,edmonton,ab,"8440 ñ 112 street, edmonton, alberta, t6g 2b7",Edmonton,4811061,48,53.520463,-113.520921,
309,university of alberta hospital and stollery children's hospital,general,Hospitals,Public Health Agency of Canada,,8440,112 st,T6G2B7,edmonton,ab,8440 - 112 st. edmonton ab t6g 2b7,Edmonton,4811061,48,53.5206343,-113.524527,
310,valleyview health centre,general,Hospitals,Public Health Agency of Canada,,4802,highway st e,T0H3N0,valleyview,ab,4802 highway st. e. valleyview ab t0h 3n0,Valleyview,4818018,48,55.066647,-117.273404,
311,vegreville care centre,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T9C0A1,vegreville,ab,,Vegreville,,48,,,
312,venta care centre,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T5E4K3,edmonton,ab,,Edmonton,,48,,,
313,vermilion health centre,general,Hospitals,Public Health Agency of Canada,,5720,50 ave,T9X1K7,vermilion,ab,5720 - 50th ave. vermilion ab t9x 1k7,Vermilion,4810042,48,53.3547731,-110.8730789,
314,viking health centre,general,Hospitals,Public Health Agency of Canada,,5110,57 ave,T0B4N0,viking,ab,5110 - 57th ave. viking ab t0b 4n0,Viking,4810022,48,53.0996627,-111.7764446,
315,vista dental,active acute hospital,Hospitals,Canadian Institute for Health Information,,,,T1B4Y2,medicine hat,ab,,Medicine Hat,,48,,,
316,vulcan community health centre,general,Hospitals,Public Health Agency of Canada,,610,elizabeth st s,T0L2B0,vulcan,ab,610 elizabeth st. s. vulcan ab t0l 2b0,Vulcan,4805006,48,50.3961012,-113.2588,
317,wabasca/desmarais healthcare centre,,Ambulatory health care services,Province of Alberta,,881,mistassiniy road,T0G2K0,wabasca,ab,"881 mistassiniy road, wabasca, alberta, t0g 2k0",Desmarais,4817855,48,55.9429643,-113.8018573,
318,wainwright health centre,general,Hospitals,Public Health Agency of Canada,,530,6 ave,T9W1R6,wainwright,ab,530 - 6th ave. wainwright ab t9w 1r6,Wainwright,4807054,48,52.840949,-110.865862,
319,weiss clinic,other,Ambulatory health care services,Canadian Institute for Health Information,,,,T6W2Z8,edmonton,ab,,Edmonton,,48,,,
320,westlock healthcare centre (h),general,Hospitals,Public Health Agency of Canada,,10220,93 st,T7P2G4,westlock,ab,10220 - 93rd st. westlock ab t7p 2g4,Westlock,4813031,48,54.14653,-113.853259,
321,westview care community,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T0M1J0,linden,ab,,Linden,,48,,,
322,westview health centre,general,Hospitals,Public Health Agency of Canada,,4405,south park dr,T7Z2M7,stony plain,ab,4405 south park dr. stony plain ab t7z 2m7,Stony Plain,4811048,48,53.537465,-113.977133,
323,westview health centre - stony plain,,Ambulatory health care services,Province of Alberta,,4405,south park drive,T7Z2M7,stony plain,ab,"4405 ñ south park drive, stony plain, alberta, t7z 2m7",Stony Plain,4811048,48,53.53827,-113.978791,
324,wetaskiwin hospital & care centre,general,Hospitals,Public Health Agency of Canada,,6910,47 st,T9A3N3,wetaskiwin,ab,6910 - 47th st. wetaskiwin ab t9a 3n3,Wetaskiwin,4811002,48,52.986764,-113.367947,
325,whitecourt healthcare centre,general,Hospitals,Public Health Agency of Canada,,20,sunset blvd,T7S1M8,whitecourt,ab,20 sunset blvd. whitecourt ab t7s 1m8,Whitecourt,4813030,48,54.131598,-115.674435,
326,william j. cadzow - lac la biche healthcare centre,,Ambulatory health care services,Province of Alberta,,9110,93 street,T0A2C0,lac la biche,ab,"9110 - 93 street, lac la biche, alberta, t0a 2c0",Lac la Biche County,4812037,48,54.7643782,-111.9635723,
327,willingdon community health clinic,active acute hospital,Hospitals,Canadian Institute for Health Information,,,,T0B4R0,willingdon,ab,,Willingdon,,48,,,
328,willow creek continuing care centre,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T0L0T0,claresholm,ab,,Claresholm,,48,,,
329,wing kei ó care centre,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T2E2R4,calgary,ab,,Calgary,,48,,,
330,wing kei ó greenview,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T2E7Y6,calgary,ab,,Calgary,,48,,,
331,womanís health options ltd.,active acute hospital,Hospitals,Canadian Institute for Health Information,,,,T5M4A7,edmonton,ab,,Edmonton,,48,,,