,FACILITY_NAME,Number of dead,HCC_CODE,HLTH_AUTH,STREET_ADDRESS,CITY,POSTAL,PHONE,OPEN_DATE,COUNCIL,ACCRED_STATUS,BEDS_PRIVATE,BEDS_PUBLIC,BEDS_TOTAL,ROOMS_PRIVATE,ROOMS_SEMI,ROOMS_MULTI,COMPLAINTS,SUB_COMPLAINTS,INCIDENT_OUTBREAK,INCIDENT_ABUSE,INCIDENT_FALL,INCIDENT_POISON,INCIDENT_MEDICATION,INCIDENT_WANDERING,INCIDENT_INJURY,INCIDENT_AGGRESSION,INCIDENT_OUTBREAK_100,INCIDENT_ABUSE_100,INCIDENT_FALL_100,INCIDENT_POISON_100,INCIDENT_MEDICATION_100,INCIDENT_WANDERING_100,INCIDENT_INJURY_100,INCIDENT_AGGRESSION_100,AGE,FEMALE,AGE_85_PLUS,AGE_UNDER_65,STAY_LENGTH,DEPRESSION,ADL_DEPENDENT,CPS_SEVERE,DEMENTIA,ABS_PHYS_ABUSIVE,ISE,ISE_LOW,CMI,THERAPY_PT,THERAPY_RT,THERAPY_OT,MEDS_DEPRESSION,MEDS_ANTIPSYCHOTICS,RESTRAINTS,INSPECTIONS,INFRACTIONS,INFRACTIONS_LICENSING,INFRACTIONS_FACILITY,INFRACTIONS_STAFFING,INFRACTIONS_POLICY,INFRACTIONS_CARE,INFRACTIONS_DISEASE,INFRACTIONS_FOOD,INFRACTIONS_MEDICATION,INFRACTIONS_PROGRAM,INFRACTIONS_REPORTING,INFRACTIONS_RIGHTS,INFRACTIONS_OTHER,outbreak_status,residents_council,family_council,accreditation,home_type,years_operating,facility_name,index,source_facility_type,odhf_facility_type,provider,unit,street_no,street_name,postal_code,city,province,source_format_str_address,CSDname,CSDuid,Pruid,latitude,longitude,address,location,point,geo_lat,geo_lon
5,Evergreen House - Lions Gate Hospital,8,9A55C,Vancouver Coastal Health,231 East 15th Street,North Vancouver,V7L2L7,(604) 984-5811,1971,"Resident Council, Family Council",Accredited,0,289,289,22,11,60,0,0,1,0,25,0,0,3,8,1,0.3,0,8.7,0,0,1,2.8,0.3,84,0.637,0.558,0.057,575,0.236,0.364,0.28,0.559,0.056,3,0.391,0.61,0.282,0.146,0.069,0.555,0.286,0.016,3,9,0,3,0,0,3,0,0,2,0,1,0,0,yes,yes,yes,yes,health_authority,49,evergreen house - lions gate hospital,,,,,,,,,,,,,,,49.32097835,-123.0676719,"231 East 15th Street, North Vancouver, British Columbia, Canada","Lions Gate Hospital, 231, East 15th Street, Central Lonsdale, Keith-Lynn, North Vancouver City, Metro Vancouver Regional District, British Columbia, V7M, Canada","(49.320978350000004, -123.06767192461284, 0.0)",49.32097835,-123.0676719
7,Dufferin Care Centre,4,919C4,Fraser Health,1131 Dufferin St,Coquitlam,V3B7X5,(604) 552-1166,,,Accredited,25,128,153,0,0,0,4,1,1,0,23,0,0,1,2,0,0.7,0,15,0,0,0.7,1.3,0,84,0.739,0.536,0.014,601,0.19,0.391,0.498,0.773,0.156,0.9,0.884,0.57,0,0.553,0,0.431,0.273,0.046,3,6,0,2,1,0,2,0,1,0,0,0,0,0,yes,no,no,yes,for-profit,,dufferin care centre,,,,,,,,,,,,,,,49.2791682,-122.8039958,"1131 Dufferin St, Coquitlam, British Columbia, Canada","Dufferin Street, Hoy Creek Housing Coop, Harbour Village, Coquitlam, Metro Vancouver Regional District, British Columbia, V3B 7G5, Canada","(49.2791682, -122.8039958, 0.0)",49.2791682,-122.8039958
8,Baillie House,3,9A6G9,Fraser Health,11666 Laity St,Maple Ridge,V2X7G5,(604) 476-7888,2006,"Resident Council, Family Council",Unknown,0,148,148,116,16,0,3,2,2,1,16,0,0,0,3,0,1.4,0.7,10.8,0,0,0,2,0,86,0.636,0.635,0.041,1537,0.173,0.247,0.201,0.509,0.058,2.8,0.475,0.58,0.131,0.53,0.067,0.382,0.196,0.05,2,2,0,1,1,0,0,0,0,0,0,0,0,0,yes,yes,yes,unknown,health_authority,14,baillie house,428,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,V2X7G5,maple ridge,bc,,Maple Ridge,,59,49.2171373,-122.631898,"11666 Laity St, Maple Ridge, British Columbia, Canada","Laity Street, Haney, Maple Ridge, Metro Vancouver Regional District, British Columbia, V2X 2L1, Canada","(49.2171373, -122.631898, 0.0)",49.2171373,-122.631898
9,Cottage and Worthington Pavilions - MSA Hospital,3,9A6GA,Fraser Health,33457 Cottage Lane,Abbotsford,V2S0B3,(604) 870-7999,,Resident & Family Council (combined),Unknown,0,119,119,11,6,24,3,1,1,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0,89,0.656,0.739,0.032,90,0.173,0.388,0.271,0.32,0.058,2.3,0.626,0.58,0.252,0.757,0.012,0.486,0.207,0.078,1,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,yes,yes,unknown,health_authority,,cottage and worthington pavilions - msa hospital,,,,,,,,,,,,,,,49.0411856,-122.2963164,"33457 Cottage Lane, Abbotsford, British Columbia, Canada","Cottage Lane, Mill Lake, Abbotsford, British Columbia, V2S 6B8, Canada","(49.0411856, -122.2963164, 0.0)",49.0411856,-122.2963164
12,New Vista Care Home,1,99C37,Fraser Health,7550 Rosewood Street,Burnaby,V5E3Z3,(604) 521-7764,1975,"Resident Council, Family Council",Accredited,0,236,236,236,0,0,3,1,0,1,27,1,0,7,4,17,0,0.4,11.4,0.4,0,3,1.7,7.2,83,0.625,0.493,0.047,1087,0.144,0.295,0.319,0.729,0.133,2.7,0.488,0.52,0.21,0.376,0,0.524,0.328,0.081,5,16,0,3,4,4,2,0,1,0,0,2,0,0,yes,yes,yes,yes,non-profit,45,new vista care home,,,,,,,,,,,,,,,49.2239438,-122.9454127,"7550 Rosewood Street, Burnaby, British Columbia, Canada","New Vista Care Home, 7550, Rosewood Street, Eastburn, Burnaby, Metro Vancouver Regional District, British Columbia, V5E 0B1, Canada","(49.2239438, -122.94541269093861, 0.0)",49.2239438,-122.9454127
15,Aberdeen Hospital,0,9A616,Vancouver Island Health,1450 Hillside Ave.,Victoria,V8T2B7,(250) 370-5648,1982,Resident & Family Council (combined),Accredited,0,100,100,19,4,25,7,4,,,,,,,,,,,,,,,,,69,0.516,0.217,0.433,844,0.243,0.456,0.16,0.068,0.005,4,0.16,0.77,0.092,0.515,0.451,0.481,0.227,0.039,1,2,0,0,0,0,2,0,0,0,0,0,0,0,no,yes,yes,yes,health_authority,38,aberdeen hospital,,,,,,,,,,,,,,,48.4421967,-123.3432416,"1450 Hillside Ave., Victoria, British Columbia, Canada","Aberdeen Hospital, 1450, Hillside Avenue, Oaklands, Victoria, Capital Regional District, British Columbia, V8T 3B1, Canada","(48.4421967, -123.34324160465658, 0.0)",48.4421967,-123.3432416
20,Arbutus Care Centre,0,9B814,Vancouver Coastal Health,4505 Valley Drive,Vancouver,V6L2L1,(604) 261-4292,1986,"Resident Council, Family Council, Quality Council",Accredited,4,152,156,58,49,0,1,0,1,1,10,0,0,5,0,3,0.6,0.6,6.4,0,0,3.2,0,1.9,86,0.714,0.643,0.04,914,0.153,0.31,0.202,0.619,0.03,1.5,0.793,0.55,0.197,0.002,0.006,0.248,0.228,0.001,7,9,1,1,0,2,2,0,0,1,0,2,3,0,no,yes,yes,yes,for-profit,34,arbutus care centre,,,,,,,,,,,,,,,49.2478819,-123.1579085,"4505 Valley Drive, Vancouver, British Columbia, Canada","Valley Drive, Arbutus Ridge, Vancouver, Metro Vancouver Regional District, British Columbia, V6L","(49.2478819, -123.1579085, 0.0)",49.2478819,-123.1579085
24,Bastion Place,0,9C094,Interior Health,700 11 St. NE,Salmon Arm,V1E4P9,(250) 833-3616,1991,"Resident Council, Family Council",Accredited,0,80,80,69,2,3,0,0,0,2,6,0,0,0,3,1,0,2.5,7.5,0,0,0,3.8,1.3,82,0.676,0.463,0.094,1040,0.301,0.391,0.289,0.538,0.045,3.2,0.425,0.62,0.184,0.004,0.041,0.553,0.239,0.107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,yes,yes,yes,health_authority,29,bastion place,442,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,V1E2S5,salmon arm,bc,,Salmon Arm,,59,50.7378252,-119.2720293,"700 11 St. NE, Salmon Arm, British Columbia, Canada","11 Street Northeast, Canoe, Salmon Arm, Columbia-Shuswap Regional District, British Columbia, V1E 2G3, Canada","(50.7378252, -119.2720293, 0.0)",50.7378252,-119.2720293
28,Belvedere Care Centre,0,9BG96,Fraser Health,739 Alderson Avenue,Coquitlam,V3K7B3,(604) 939-5991,2006,"Resident Council, Family Council",Unknown,67,56,123,146,2,0,5,1,0,1,7,0,0,0,3,0,0,0.8,5.7,0,0,0,2.4,0,88,0.757,0.696,0.004,660,0.224,0.333,0.294,0.625,0.088,3.9,0.265,0.58,0.081,0.75,0.009,0.458,0.121,0.033,4,2,0,0,0,0,1,1,0,0,0,0,0,0,no,yes,yes,unknown,for-profit,14,belvedere care centre,,,,,,,,,,,,,,,49.24008325,-122.8785698,"739 Alderson Avenue, Coquitlam, British Columbia, Canada","Belvedere Care Centre, 739, Alderson Avenue, Maillardville, Coquitlam, Metro Vancouver Regional District, British Columbia, V3K 7B3, Canada","(49.24008325, -122.8785698229799, 0.0)",49.24008325,-122.8785698
29,Berkley Care Centre - Special Unit,0,93A60,Vancouver Coastal Health,2444 Burr Place,North Vancouver,V7H3A5,(604) 924-8300,1998,"Resident Council, Family Council",Accredited,0,12,12,12,0,0,,,,,,,,,,,,,,,,,,,78,0.397,0.138,0.138,317,0.3,0.18,0.7,0.86,0.32,1.5,0.7,0.53,0,0.5,0,0.84,0.713,0.217,,,,,,,,,,,,,,,no,yes,yes,yes,health_authority,22,berkley care centre - special unit,,,,,,,,,,,,,,,49.1415955,-122.9054267,"2444 Burr Place, North Vancouver, British Columbia, Canada","Burr Place, North Delta, Delta, Metro Vancouver Regional District, British Columbia, V4E 1V4, Canada","(49.1415955, -122.9054267, 0.0)",49.1415955,-122.9054267
33,Braddan Private Hospital,0,91997,Vancouver Coastal Health,2450 West 2nd Ave,Vancouver,V6K1J6,(604) 731-2127,1979,"Resident Council, Family Council",Not Accredited,2,60,62,22,20,0,0,0,0,1,3,0,1,2,0,0,0,1.6,4.8,0,1.6,3.2,0,0,85,0.787,0.636,0.016,1111,0.133,0.261,0.178,0.544,0.033,2.1,0.61,0.54,0,0.718,0,0.369,0.08,0.147,2,0,0,0,0,0,0,0,0,0,0,0,0,0,no,yes,yes,no,for-profit,41,braddan private hospital,,,,,,,,,,,,,,,49.2697848,-123.1610417,"2450 West 2nd Ave, Vancouver, British Columbia, Canada","Braddan Private Hospital, 2450, West 2nd Avenue, Kitsilano, Vancouver, Metro Vancouver Regional District, British Columbia, V6K, Canada","(49.2697848, -123.1610416529879, 0.0)",49.2697848,-123.1610417
34,Bradley Center,0,9A6JG,Fraser Health,45600 Menholm Rd,Chilliwack,V2P1P7,(604) 795-4102,,Resident Council,Unknown,0,90,90,8,1,20,0,0,0,0,1,0,0,0,0,0,0,0,1.1,0,0,0,0,0,87,0.693,0.695,0.052,648,0.19,0.252,0.197,0.48,0.041,2.7,0.469,0.59,0.003,0.418,0.007,0.514,0.254,0.09,1,5,0,0,1,1,1,1,0,1,0,0,0,0,no,yes,no,unknown,health_authority,,bradley center,,,,,,,,,,,,,,,49.16730645,-121.9648572,"45600 Menholm Rd, Chilliwack, British Columbia, Canada","Chilliwack General Hospital, 45600, Menholm Road, Five Corners, Chilliwack, British Columbia, V2P 2N6, Canada","(49.16730645, -121.96485716719084, 0.0)",49.16730645,-121.9648572
39,Brookhaven Care Centre,0,917I9,Interior Health,1775 Shannon Lake Rd,West Kelowna,V4T2N7,(250) 862-4040,1995,"Resident Council, Family Council",Accredited,0,84,84,0,0,0,0,0,1,1,16,0,0,0,3,2,1.2,1.2,19,0,0,0,3.6,2.4,83,0.566,0.552,0.079,645,0.28,0.36,0.325,0.728,0.102,2.5,0.548,0.59,0.081,0.675,0.516,0.637,0.268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,yes,yes,yes,health_authority,25,brookhaven care centre,510,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,V4T2N7,westbank,bc,,,,59,49.8648276,-119.5896005,"1775 Shannon Lake Rd, West Kelowna, British Columbia, Canada","1775, Shannon Lake Road, Shannon Lake, West Kelowna, Regional District of Central Okanagan, British Columbia, V1Z 1L9, Canada","(49.8648276, -119.5896005, 0.0)",49.8648276,-119.5896005
41,Buchanan Lodge,0,9A500,Fraser Health,409 Blair Ave,New Westminster,V3L4A4,(604) 522-7033,1997,"Resident Council, Family Council",Unknown,0,112,112,104,4,0,1,0,3,2,10,0,0,2,1,1,2.7,1.8,8.9,0,0,1.8,0.9,0.9,86,0.692,0.6,0.033,1386,0.137,0.399,0.267,0.67,0.084,2.2,0.62,0.57,0.084,0.023,0.002,0.396,0.194,0.126,3,3,0,1,1,0,0,1,0,0,0,0,0,0,no,yes,yes,unknown,non-profit,23,buchanan lodge,,,,,,,,,,,,,,,49.22877315,-122.8980863,"409 Blair Ave, New Westminster, British Columbia, Canada","Buchanan Lodge, 409, Blair Avenue, Victory Heights, Sapperton, New Westminster, Metro Vancouver Regional District, British Columbia, V3L 4C9, Canada","(49.228773149999995, -122.89808629846814, 0.0)",49.22877315,-122.8980863
43,Cairnsmore Place,0,9A5F3,Vancouver Island Health,250 Cairnsmore Street,Duncan,V9L4H2,(250) 709-3080,1965,Resident & Family Council (combined),Accredited,0,100,100,8,4,21,2,0,,,,,,,,,,,,,,,,,83,0.683,0.494,0.058,752,0.27,0.33,0.187,0.57,0.017,3.7,0.293,0.64,0.633,0,0.41,0.563,0.181,0.055,1,1,0,0,0,0,1,0,0,0,0,0,0,0,no,yes,yes,yes,health_authority,55,cairnsmore place,533,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,V9L4H2,duncan,bc,,Duncan,,59,48.7854979,-123.7106333,"250 Cairnsmore Street, Duncan, British Columbia, Canada","Cairnsmore Street, Duncan, Cowichan Valley Regional District, British Columbia, V9L 1V2, Canada","(48.7854979, -123.7106333, 0.0)",48.7854979,-123.7106333
48,Cartier House Seniors Community,0,992EJ,Fraser Health,1419 Cartier St,Coquitlam,V3K2C6,(604) 939-4654,1974,"Resident Council, Family Council",Unknown,0,78,78,30,24,0,1,1,2,1,8,0,0,0,0,0,2.6,1.3,10.3,0,0,0,0,0,88,0.831,0.688,0.016,346,0.402,0.248,0.267,0.743,0.106,2.6,0.511,0.59,0.042,0.273,0.006,0.492,0.237,0.083,2,5,0,1,3,1,0,0,0,0,0,0,0,0,no,yes,yes,unknown,for-profit,46,cartier house seniors community,,,,,,,,,,,,,,,49.28317715,-122.787349,"1419 Cartier St, Coquitlam, British Columbia, Canada","The Cartier, 1189, Eastwood Street, Hoy Creek Housing Coop, River Springs, Coquitlam, Metro Vancouver Regional District, British Columbia, V3B 7W7, Canada","(49.28317715, -122.78734899022074, 0.0)",49.28317715,-122.787349
58,Columbia House - Invermere District Hospital,0,915C7,Interior Health,1030 - 10th Street,Invermere,V0A1K0,(250) 342-2329,1994,"Resident Council, Family Council",Accredited,0,35,35,35,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2.9,0,0,0,0,2.9,84,0.619,0.589,0.089,1116,0.231,0.214,0.205,0.675,0.043,2.8,0.462,0.56,0.325,0.709,0.043,0.137,0.057,0.237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,yes,yes,yes,health_authority,26,columbia house - invermere district hospital,,,,,,,,,,,,,,,50.5060821,-116.0328794,"1030 - 10th Street, Invermere, British Columbia, Canada","Canadian Red Cross, 1030, 10th Street, Invermere, Regional District of East Kootenay, British Columbia, V0A 1K0, Canada","(50.5060821, -116.0328794, 0.0)",50.5060821,-116.0328794
63,Cottonwoods Care Centre,0,9A6EF,Interior Health,2255 Ethel Street,Kelowna,V1Y2Z9,(250) 862-4100,1976,Resident & Family Council (combined),Accredited,0,221,221,34,29,33,0,0,4,3,22,0,1,41,11,0,1.8,1.4,10,0,0.5,18.6,5,0,85,0.662,0.64,0.063,668,0.281,0.311,0.301,0.607,0.067,2.9,0.387,0.61,0.06,0.366,0.254,0.392,0.258,0.043,1,5,0,1,0,1,2,1,0,0,0,0,0,0,no,yes,yes,yes,health_authority,44,cottonwoods care centre,656,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,V1Y2Z9,kelowna,bc,,Kelowna,,59,49.8729257,-119.482555,"2255 Ethel Street, Kelowna, British Columbia, Canada","2255, Ethel Street, North Kelowna, Kelowna, Regional District of Central Okanagan, British Columbia, V1Y 5C1, Canada","(49.8729257, -119.482555, 0.0)",49.8729257,-119.482555
66,Crest View Village,0,92DG0,Interior Health,800 Cavell Street,Creston,V0B1G4,(250) 428-9986,2005,"Resident Council, Family Council",Accredited,2,30,32,32,0,0,0,0,1,1,1,0,0,0,1,0,3.1,3.1,3.1,0,0,0,3.1,0,88,0.631,0.78,0,534,0.333,0.289,0.119,0.667,0.044,2.9,0.393,0.56,0.007,0.022,0.007,0.378,0.233,0.108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,yes,yes,yes,for-profit,15,crest view village,,,,,,,,,,,,,,,49.1042985,-116.5148918,"800 Cavell Street, Creston, British Columbia, Canada","800, Cavell Street, Creston Valley Mall, Creston, Regional District of Central Kootenay, British Columbia, V1B 1G0, Canada","(49.1042985, -116.5148918, 0.0)",49.1042985,-116.5148918
67,Cumberland Lodge,0,995I0,Vancouver Island Health,2696 Windermere Ave,Cumberland,V0R1S0,(250) 331-8505 x 68321,1977,Resident Council,Accredited,0,66,66,40,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0.708,0.629,0.021,730,0.31,0.295,0.179,0.664,0.067,4.2,0.168,0.57,0.269,0.377,0.022,0.563,0.269,0.113,3,2,0,0,0,1,1,0,0,0,0,0,0,0,no,yes,no,yes,health_authority,43,cumberland lodge,,,,,,,,,,,,,,,49.62206725,-125.0310259,"2696 Windermere Ave, Cumberland, British Columbia, Canada","Cumberland Health Centre, 2696, Windermere Avenue, Cumberland, Comox Valley Regional District, British Columbia, V0R 1S0, Canada","(49.62206725, -125.031025868366, 0.0)",49.62206725,-125.0310259
71,Delta View Habilitation Centre,0,9C280,Fraser Health,9341 Burns Drive,Delta,V4K3N3,(604) 596-8842,1991,"Resident Council, Family Council",Accredited,9,71,80,72,4,0,0,0,0,0,4,0,0,1,0,0,0,0,5,0,0,1.3,0,0,79,0.667,0.333,0,,0,0,0,0,0,,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,no,yes,yes,yes,for-profit,29,delta view habilitation centre,,,,,,,,,,,,,,,49.0922042,-122.9650473,"9341 Burns Drive, Delta, British Columbia, Canada","9341, Burns Drive, Delta, Metro Vancouver Regional District, British Columbia, V4K 3N3, Canada","(49.0922042, -122.96504725675072, 0.0)",49.0922042,-122.9650473
72,Delta View Life Enrichment Centre,0,9940H,Fraser Health,9321 Burns Drive,Delta,V4K3N3,(604) 501-6700,2004,"Resident Council, Family Council",Accredited,62,150,212,172,20,0,0,0,0,0,13,0,0,0,1,0,0,0,6.1,0,0,0,0.5,0,85,0.662,0.55,0.028,942,0.264,0.397,0.484,0.739,0.187,1.9,0.696,0.61,0.382,0,0,0.47,0.159,0.003,1,0,0,0,0,0,0,0,0,0,0,0,0,0,no,yes,yes,yes,for-profit,16,delta view life enrichment centre,,,,,,,,,,,,,,,49.09130415,-122.964866,"9321 Burns Drive, Delta, British Columbia, Canada","Delta View Life Enrichment Centre, 9321, Burns Drive, Delta, Metro Vancouver Regional District, British Columbia, V4K 3N3, Canada","(49.09130415, -122.96486604215154, 0.0)",49.09130415,-122.964866
73,Deni House,0,93B40,Interior Health,517 6th Ave N.,Williams Lake,V2G2G8,(250) 302-3208,2011,Resident Council (family can attend),Accredited,0,28,28,13,0,5,0,0,0,1,8,0,0,2,0,0,0,3.6,28.6,0,0,7.1,0,0,80,0.433,0.484,0.178,381,0.234,0.299,0.39,0.61,0.052,3.7,0.273,0.58,0,0.247,0,0.519,0.41,0.088,1,1,0,1,0,0,0,0,0,0,0,0,0,0,no,yes,no,yes,health_authority,9,deni house,697,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,V2G2G8,williams lake,bc,,Williams Lake,,59,52.1378197,-122.1436286,"517 6th Ave N., Williams Lake, British Columbia, Canada","Canadian Red Cross Williams Lake Office, 517, 6th Avenue North, Williams Lake, Cariboo Regional District, British Columbia, V2G 2G8, Canada","(52.1378197, -122.1436286, 0.0)",52.1378197,-122.1436286
74,Discovery Harbour Seniors Community,0,9353A,Vancouver Island Health,850 14th Avenue,Campbell River,V9W4H4,(250) 287-7166,2008,"Resident Council, Family Council",Unknown,0,142,142,90,4,0,16,9,1,9,21,0,1,6,0,7,0.7,6.3,14.8,0,0.7,4.2,0,4.9,84,0.576,0.564,0.025,912,0.268,0.22,0.313,0.739,0.097,1.2,0.815,0.62,0.006,0,0.002,0.588,0.282,0.099,5,6,0,0,0,1,0,0,0,0,0,5,0,0,no,yes,yes,unknown,for-profit,12,discovery harbour seniors community,,,,,,,,,,,,,,,50.0293746,-125.2748504,"850 14th Avenue, Campbell River, British Columbia, Canada","14th Avenue, Campbell River, Strathcona Regional District, British Columbia, V9W 8E8, Canada","(50.0293746, -125.2748504, 0.0)",50.0293746,-125.2748504
76,Dr. Andrew Pavilion - Summerland Health Centre,0,9AJF4,Interior Health,12815 Atkinson Rd.,Summerland,V0H1Z0,(250)  404-8020,1984,"Resident Council, Family Council",Accredited,0,50,50,4,5,8,0,0,1,1,1,0,0,0,0,0,2,2,2,0,0,0,0,0,89,0.755,0.767,0.004,619,0.223,0.451,0.187,0.715,0.01,2.2,0.601,0.58,0,0,0,0.347,0.237,0.067,0,1,0,1,0,0,0,0,0,0,0,0,0,0,no,yes,yes,yes,health_authority,36,dr. andrew pavilion - summerland health centre,,,,,,,,,,,,,,,49.6027035,-119.6679222,"12815 Atkinson Rd., Summerland, British Columbia, Canada","12815, Atkinson Road, Summerland, Regional District of Okanagan-Similkameen, British Columbia, V0H 1Z0, Canada","(49.6027035, -119.6679222, 0.0)",49.6027035,-119.6679222
78,Dufferin Place,0,9A6D2,Vancouver Island Health,1200 Dufferin Crescent,Nanaimo,V9S2B7,(250) 755-7632,1987,"Resident Council, Family Council",Accredited,0,146,146,14,8,29,1,0,,,,,,,,,,,,,,,,,84,0.745,0.555,0.044,463,0.374,0.264,0.227,0.446,0.025,3.8,0.264,0.58,0.444,0,0.301,0.542,0.061,0.02,1,1,0,0,0,0,1,0,0,0,0,0,0,0,no,yes,yes,yes,health_authority,33,dufferin place,717,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,V9S2B7,nanaimo,bc,,Nanaimo,,59,49.1848743,-123.9698453,"1200 Dufferin Crescent, Nanaimo, British Columbia, Canada","Nanaimo Regional General Hospital, 1200, Dufferin Crescent, Brechin Hill, Nanaimo, Regional District of Nanaimo, British Columbia, V9S 2B7, Canada","(49.184874300000004, -123.96984534779168, 0.0)",49.1848743,-123.9698453
80,Eagle Park Health Care Facility,0,9154A,Vancouver Island Health,777 Jones St,Qualicum Beach,V9K2L1,(250) 947-8220,1994,"Resident Council, Family Council",Accredited,0,75,75,55,20,0,1,0,,,,,,,,,,,,,,,,,83,0.626,0.512,0.055,463,0.274,0.267,0.358,0.761,0.046,3.7,0.284,0.58,0.007,0.004,0.712,0.572,0.534,0.109,1,4,0,1,0,0,1,1,0,1,0,0,0,0,no,yes,yes,yes,health_authority,26,eagle park health care facility,,,,,,,,,,,,,,,49.3409296,-124.4492447,"777 Jones St, Qualicum Beach, British Columbia, Canada","Jones Street, Qualicum Beach, Regional District of Nanaimo, British Columbia, V9K 1S4, Canada","(49.3409296, -124.4492447, 0.0)",49.3409296,-124.4492447
81,Eagle Ridge Manor - Port Hardy,0,923C0,Vancouver Island Health,9120 Granville Street,Port Hardy,V0N2P0,(250) 902-6043,2000,"Resident Council, Family Council",Accredited,0,22,22,22,0,0,0,0,,,,,,,,,,,,,,,,,83,0.585,0.468,0.043,1126,0.11,0.195,0.293,0.744,0.085,2.9,0.402,0.56,0.012,0.012,0,0.5,0.304,0.143,1,3,0,0,1,0,1,0,0,0,0,1,0,0,no,yes,yes,yes,health_authority,20,eagle ridge manor - port hardy,,,,,,,,,,,,,,,50.71997325,-127.5028513,"9120 Granville Street, Port Hardy, British Columbia, Canada","Port Hardy Hospital, 9120, Granville Street, Port Hardy, Regional District of Mount Waddington, British Columbia, V0N 2V0, Canada","(50.71997325, -127.50285126402541, 0.0)",50.71997325,-127.5028513
